stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
784,u010440301,Loza,Loza,PEÑACERRADA-URIZAHARRA,42.6434,-2.6836,3,,0,,,0,0,0
785,u010440401,Montoria,Montoria,PEÑACERRADA-URIZAHARRA,42.6217,-2.71,3,,0,,,0,0,0
786,u010440501,Payueta/Pagoeta,Payueta/Pagoeta,PEÑACERRADA-URIZAHARRA,42.6509,-2.7255,3,,0,,,0,0,0
787,u091092601,Moraza,Moraza,CONDADO DE TREVIÑO,42.6742,-2.7218,2,,0,,,0,0,0
788,u010440101,Baroja,Baroja,PEÑACERRADA-URIZAHARRA,42.6656,-2.6912,3,,0,,,0,0,0
789,u091094301,Taravero,Taravero,MIRANDA DE EBRO,42.6915,-2.7358,4,,0,,,0,0,0
790,u091093901,San Martín Zar,San Martín Zar,CONDADO DE TREVIÑO,42.6945,-2.7266,2,,0,,,0,0,0
791,u091090601,Arana,Arana,CONDADO DE TREVIÑO,42.7007,-2.7191,2,,0,,,0,0,0
792,u010161201,Urturi,Urturi,BERNEDO,42.6568,-2.5067,4,,0,,,0,0,0
793,u010160702,Navarrete (TC),Navarrete (TC),BERNEDO,42.6375,-2.5235,4,,0,,,0,0,0
794,u091091102,Bajauri (TC),Bajauri (TC),CONDADO DE TREVIÑO,42.6532,-2.5682,2,,0,,,0,0,0
795,i311410101,LAPOBLACIÓN,LAPOBLACIÓN,,42.6041,-2.4614,8,,0,,,0,0,0
796,v311410101,LAPOBLACIÓN,LAPOBLACIÓN,,42.6041,-2.4616,8,,0,,,0,0,0
797,i311410102,MEANO,MEANO,LAPOBLACIÓN,42.6022,-2.4737,8,,0,,,0,0,0
798,v311410102,MEANO,MEANO,LAPOBLACIÓN,42.6033,-2.4741,8,,0,,,0,0,0
799,u010590803,ARCAUTE / ARKAUTI (Akademia/Academia),ARCAUTE / ARKAUTI (Akademia/Academia),VITORIA-GASTEIZ,42.8571,-2.6179,1,,0,,,0,0,0
800,u010181101,Letona,Letona,ZIGOITIA,42.9325,-2.7487,2,,0,,,0,0,0
801,i310970103,ESTELLA-LIZARRA (Zezen Plaza/Plaza Toros),ESTELLA-LIZARRA (Zezen Plaza/Plaza Toros),ESTELLA/ LIZARRA,42.6753,-2.0354,9,,0,,,0,0,0
802,i010330102,LAPUEBLA DE LABARCA (calle Mayor kalea),LAPUEBLA DE LABARCA (calle Mayor kalea),LA PUEBLA DE LABARCA,42.4948,-2.5733,8,,0,,,0,0,0
803,v010330102,LAPUEBLA DE LABARCA (calle Mayor kalea),LAPUEBLA DE LABARCA (calle Mayor kalea),LA PUEBLA DE LABARCA,42.4947,-2.5733,8,,0,,,0,0,0
804,v310970103,ESTELLA-LIZARRA (Zezen Plaza/Plaza Toros),ESTELLA-LIZARRA (Zezen Plaza/Plaza Toros),ESTELLA/ LIZARRA,42.6753,-2.0356,9,,0,,,0,0,0
805,u010102404,Zuaza/Zuhatza (El Valle),Zuaza/Zuhatza (El Valle),AYALA/AIARA,43.1193,-3.0398,4,,0,,,0,0,0
806,u010102403,Zuaza/Zuhatza (Zerrabe),Zuaza/Zuhatza (Zerrabe),AYALA/AIARA,43.1063,-3.0451,4,,0,,,0,0,0
807,u010101602,Murga (Eliza-Iglesia),Murga (Eliza-Iglesia),AYALA/AIARA,43.0737,-3.0269,4,,0,,,0,0,0
808,u010101603,Murga (Markijana),Murga (Markijana),AYALA/AIARA,43.0839,-3.0072,4,,0,,,0,0,0
809,u480740502,ORDUÑA/URDUÑA (Tren geltokia/Estación de tren),ORDUÑA/URDUÑA (Tren geltokia/Estación de tren),ORDUÑA,42.9945,-3.0158,4,,0,,,0,0,0
810,u010030602,Arraga,Arraga,ARAMAIO,43.0501,-2.5729,3,,0,,,0,0,0
